Community_Area_Number,PERCENT_OF_HOUSING_CROWDED,PERCENT_HOUSEHOLDS_BELOW_POVERTY,PERCENT_AGED_16+_UNEMPLOYED,PERCENT_AGED_25+_WITHOUT_HIGH_SCHOOL_DIPLOMA,PERCENT_AGED UNDER_18_OR_OVER_64,PER_CAPITA_INCOME ,HARDSHIP_INDEX
1,7.7,23.6,8.7,18.2,27.5,23939,39
2,7.8,17.2,8.8,20.8,38.5,23040,46
3,3.8,24,8.9,11.8,22.2,35787,20
4,3.4,10.9,8.2,13.4,25.5,37524,17
5,0.3,7.5,5.2,4.5,26.2,57123,6
6,1.1,11.4,4.7,2.6,17,60058,5
7,0.8,12.3,5.1,3.6,21.5,71551,2
8,1.9,12.9,7,2.5,22.6,88669,1
9,1.1,3.3,6.5,7.4,35.3,40959,8
10,2,5.4,9,11.5,39.5,32875,21
11,2.7,8.6,12.4,13.4,35.5,27751,25
12,1.1,7.5,6.8,4.9,40.5,44164,11
13,3.9,13.2,9.9,14.4,39,26576,33
14,11.3,19.2,10,32.9,32,21323,53
15,4.1,11.6,12.6,19.3,34,24336,35
16,6.3,13.1,10,22.4,31.6,27249,34
17,5.2,10.6,10,16.2,33.6,26282,28
18,8.1,15.3,13.8,23.5,38.6,22014,50
19,10.8,18.7,14.6,37.3,37.3,15461,70
20,6.9,20.5,13.1,41.6,36.4,15089,71
21,6,15.3,9.2,24.7,31,20039,42
22,3.2,16.8,8.2,14.8,26.2,31908,23
23,14.8,33.9,17.3,35.4,38,13781,85
24,2.3,14.7,6.6,12.9,21.7,43198,10
25,6.3,28.6,22.6,24.4,37.9,15957,73
26,9.4,41.7,25.8,24.5,43.6,10934,92
27,8.2,42.4,19.6,21.3,43.2,12961,83
28,3.8,20.6,10.7,9.6,22.2,44689,15
29,7.4,43.1,21.2,27.6,42.7,12034,87
30,15.2,30.7,15.8,54.8,33.8,10402,96
31,9.6,25.8,15.8,40.7,32.6,16444,76
32,1.5,14.7,5.7,3.1,13.5,65526,3
33,1.3,13.8,4.9,7.4,21.8,59077,7
34,5.7,40.1,16.7,34.5,38.3,16148,82
35,1.8,29.6,18.2,14.3,30.7,23791,47
36,1.3,39.7,28.7,18.4,40.4,19252,78
37,3.2,51.2,33.9,26.6,44.9,10432,97
38,3.3,29.3,24.3,15.9,39.5,23472,57
39,2.4,21.7,15.7,11.3,35.4,35911,26
40,5.6,42.1,28.6,25.4,42.8,13785,88
41,1.5,18.4,8.4,4.3,26.2,39056,14
42,2.9,30.7,23.4,16.5,36.1,18672,58
43,2.8,31.1,20,14,35.7,19398,55
44,3.3,27.8,24,14.5,40.3,18881,60
45,1.4,17.2,21.1,10.6,39.3,24454,41
46,4.7,29.8,19.7,26.6,41.1,16579,75
47,6.8,33,18.6,19.3,42.7,12515,79
48,2.1,11.5,20,11,44,28887,38
49,2.5,19.8,20.3,16.9,41.2,17949,52
50,1.5,21.6,22.8,13.1,38.6,20588,51
51,4,29.2,16.3,21,39.5,14685,65
52,6.8,19.2,12.1,31.9,42.8,17104,64
53,3.3,25.9,19.4,20.5,42.1,16563,62
54,5.8,56.5,34.6,27.5,51.5,8201,98
55,3.3,17.1,9.6,19.2,42.9,22677,44
56,2.6,8.8,11.3,19.3,38.1,26353,32
57,8.5,14.1,16.5,35.9,39.2,16134,67
58,14.4,23.6,13.9,45.1,39.3,13089,84
59,7.2,18.7,13.4,32.9,35.6,16954,61
60,4.5,18.9,13.7,22.2,31.3,22694,43
61,11.9,29,23,41.5,38.9,12765,91
62,11.1,15.6,16.7,37,37.7,15754,69
63,15.8,23.4,18.2,51.5,38.8,12171,93
64,2.7,8.9,9.5,18.8,37.6,25113,29
65,5.8,14.9,9.6,33.6,39.6,16907,56
66,7.6,27.9,17.1,31.2,40.6,13231,80
67,4.8,34.4,35.9,26.3,40.7,11317,89
68,3.8,46.6,28,28.5,42.5,11888,94
69,3.6,29.6,23,16.5,41,17285,66
70,4,10.4,11.7,17.7,36.9,23482,37
71,4,27.6,28.3,18.5,41.9,15528,74
72,0.9,5.1,8,3.7,40.5,39523,12
73,1.1,16.9,20.8,13.7,42.6,19713,48
74,1,3.4,8.7,4.3,36.8,34381,16
75,0.8,13.2,15,10.8,40.3,27149,30
76,3.6,15.4,7.1,10.9,30.3,25828,24
77,4.1,18.2,9.2,9.7,23.8,33385,19
78,4.8,34.4,35.9,26.3,40.7,11317,89
79,3.8,46.6,28,28.5,42.5,11888,94
80,3.6,29.6,23,16.5,41,17285,66
81,4,10.4,11.7,17.7,36.9,23482,37
82,4,27.6,28.3,18.5,41.9,15528,74
83,0.9,5.1,8,3.7,40.5,39523,12
84,1.1,16.9,20.8,13.7,42.6,19713,48
85,1,3.4,8.7,4.3,36.8,34381,16
86,0.8,13.2,15,10.8,40.3,27149,30
87,3.6,15.4,7.1,10.9,30.3,25828,24
88,4.1,18.2,9.2,9.7,23.8,33385,19
89,5.6,42.1,28.6,25.4,42.8,13785,88
90,1.5,18.4,8.4,4.3,26.2,39056,14
91,2.9,30.7,23.4,16.5,36.1,18672,58
92,2.8,31.1,20,14,35.7,19398,55
93,3.3,27.8,24,14.5,40.3,18881,60
94,1.4,17.2,21.1,10.6,39.3,24454,41
95,4.7,29.8,19.7,26.6,41.1,16579,75
96,6.8,33,18.6,19.3,42.7,12515,79
97,2.1,11.5,20,11,44,28887,38
98,2.5,19.8,20.3,16.9,41.2,17949,52
99,1.5,21.6,22.8,13.1,38.6,20588,51
100,4,29.2,16.3,21,39.5,14685,65
101,6.8,19.2,12.1,31.9,42.8,17104,64
102,3.3,29.3,24.3,15.9,39.5,23472,57
103,2.4,21.7,15.7,11.3,35.4,35911,26
104,5.6,42.1,28.6,25.4,42.8,13785,88
105,1.5,18.4,8.4,4.3,26.2,39056,14
106,2.9,30.7,23.4,16.5,36.1,18672,58
107,2.8,31.1,20,14,35.7,19398,55
108,3.3,27.8,24,14.5,40.3,18881,60
109,1.4,17.2,21.1,10.6,39.3,24454,41
110,4.7,29.8,19.7,26.6,41.1,16579,75
111,6.8,33,18.6,19.3,42.7,12515,79
112,2.1,11.5,20,11,44,28887,38
113,2.5,19.8,20.3,16.9,41.2,17949,52
114,1.5,21.6,22.8,13.1,38.6,20588,51
115,4,29.2,16.3,21,39.5,14685,65
116,6.8,19.2,12.1,31.9,42.8,17104,64
117,3.3,25.9,19.4,20.5,42.1,16563,62
118,5.8,56.5,34.6,27.5,51.5,8201,98
119,3.3,17.1,9.6,19.2,42.9,22677,44
120,2.6,8.8,11.3,19.3,38.1,26353,32
121,8.5,14.1,16.5,35.9,39.2,16134,67
122,14.4,23.6,13.9,45.1,39.3,13089,84
123,7.2,18.7,13.4,32.9,35.6,16954,61
124,4.5,18.9,13.7,22.2,31.3,22694,43
125,11.9,29,23,41.5,38.9,12765,91
126,11.1,15.6,16.7,37,37.7,15754,69
127,15.8,23.4,18.2,51.5,38.8,12171,93
128,2.7,8.9,9.5,18.8,37.6,25113,29
129,5.8,14.9,9.6,33.6,39.6,16907,56
130,7.6,27.9,17.1,31.2,40.6,13231,80
131,4.8,34.4,35.9,26.3,40.7,11317,89
132,3.8,46.6,28,28.5,42.5,11888,94
133,3.6,29.6,23,16.5,41,17285,66
134,4,10.4,11.7,17.7,36.9,23482,37
135,4,27.6,28.3,18.5,41.9,15528,74
136,0.9,5.1,8,3.7,40.5,39523,12
137,1.1,16.9,20.8,13.7,42.6,19713,48
138,1,3.4,8.7,4.3,36.8,34381,16
139,0.8,13.2,15,10.8,40.3,27149,30
140,3.6,15.4,7.1,10.9,30.3,25828,24
141,4.1,18.2,9.2,9.7,23.8,33385,19
142,4.8,34.4,35.9,26.3,40.7,11317,89
143,3.8,46.6,28,28.5,42.5,11888,94
144,3.6,29.6,23,16.5,41,17285,66
145,4,10.4,11.7,17.7,36.9,23482,37
146,4,27.6,28.3,18.5,41.9,15528,74
147,7.7,23.6,8.7,18.2,27.5,23939,39
148,7.8,17.2,8.8,20.8,38.5,23040,46
149,3.8,24,8.9,11.8,22.2,35787,20
150,3.4,10.9,8.2,13.4,25.5,37524,17
151,0.3,7.5,5.2,4.5,26.2,57123,6
152,1.1,11.4,4.7,2.6,17,60058,5
153,0.8,12.3,5.1,3.6,21.5,71551,2
154,1.9,12.9,7,2.5,22.6,88669,1
155,1.1,3.3,6.5,7.4,35.3,40959,8
156,2,5.4,9,11.5,39.5,32875,21
157,2.7,8.6,12.4,13.4,35.5,27751,25
158,1.1,7.5,6.8,4.9,40.5,44164,11
159,3.9,13.2,9.9,14.4,39,26576,33
160,11.3,19.2,10,32.9,32,21323,53
161,4.1,11.6,12.6,19.3,34,24336,35
162,6.3,13.1,10,22.4,31.6,27249,34
163,5.2,10.6,10,16.2,33.6,26282,28
164,8.1,15.3,13.8,23.5,38.6,22014,50
165,10.8,18.7,14.6,37.3,37.3,15461,70
166,6.9,20.5,13.1,41.6,36.4,15089,71
167,6,15.3,9.2,24.7,31,20039,42
168,3.2,16.8,8.2,14.8,26.2,31908,23
169,14.8,33.9,17.3,35.4,38,13781,85
170,2.3,14.7,6.6,12.9,21.7,43198,10
171,6.3,28.6,22.6,24.4,37.9,15957,73
172,9.4,41.7,25.8,24.5,43.6,10934,92
173,8.2,42.4,19.6,21.3,43.2,12961,83
174,3.8,20.6,10.7,9.6,22.2,44689,15
175,7.4,43.1,21.2,27.6,42.7,12034,87
176,15.2,30.7,15.8,54.8,33.8,10402,96
177,9.6,25.8,15.8,40.7,32.6,16444,76
178,1.5,14.7,5.7,3.1,13.5,65526,3
179,1.3,13.8,4.9,7.4,21.8,59077,7
180,5.7,40.1,16.7,34.5,38.3,16148,82
181,1.8,29.6,18.2,14.3,30.7,23791,47
182,1.3,39.7,28.7,18.4,40.4,19252,78
183,3.2,51.2,33.9,26.6,44.9,10432,97
184,3.3,29.3,24.3,15.9,39.5,23472,57
185,2.4,21.7,15.7,11.3,35.4,35911,26
186,5.6,42.1,28.6,25.4,42.8,13785,88
187,1.5,18.4,8.4,4.3,26.2,39056,14
188,2.9,30.7,23.4,16.5,36.1,18672,58
189,2.1,11.5,20,11,44,28887,38
190,2.5,19.8,20.3,16.9,41.2,17949,52
191,1.5,21.6,22.8,13.1,38.6,20588,51
192,4,29.2,16.3,21,39.5,14685,65
193,6.8,19.2,12.1,31.9,42.8,17104,64
194,3.3,25.9,19.4,20.5,42.1,16563,62
195,5.8,56.5,34.6,27.5,51.5,8201,98
196,3.3,17.1,9.6,19.2,42.9,22677,44
197,2.6,8.8,11.3,19.3,38.1,26353,32
198,8.5,14.1,16.5,35.9,39.2,16134,67
199,14.4,23.6,13.9,45.1,39.3,13089,84
200,7.2,18.7,13.4,32.9,35.6,16954,61
201,4.5,18.9,13.7,22.2,31.3,22694,43
202,11.9,29,23,41.5,38.9,12765,91
203,11.1,15.6,16.7,37,37.7,15754,69
204,15.8,23.4,18.2,51.5,38.8,12171,93
205,2.7,8.9,9.5,18.8,37.6,25113,29
206,5.8,14.9,9.6,33.6,39.6,16907,56
207,7.6,27.9,17.1,31.2,40.6,13231,80
208,4.8,34.4,35.9,26.3,40.7,11317,89
209,3.8,46.6,28,28.5,42.5,11888,94
210,3.6,29.6,23,16.5,41,17285,66
211,4,10.4,11.7,17.7,36.9,23482,37
212,4,27.6,28.3,18.5,41.9,15528,74
213,2.7,8.6,12.4,13.4,35.5,27751,25
214,1.1,7.5,6.8,4.9,40.5,44164,11
215,3.9,13.2,9.9,14.4,39,26576,33
216,11.3,19.2,10,32.9,32,21323,53
217,4.1,11.6,12.6,19.3,34,24336,35
218,6.3,13.1,10,22.4,31.6,27249,34
219,5.2,10.6,10,16.2,33.6,26282,28
220,8.1,15.3,13.8,23.5,38.6,22014,50
221,10.8,18.7,14.6,37.3,37.3,15461,70
222,6.9,20.5,13.1,41.6,36.4,15089,71
223,6,15.3,9.2,24.7,31,20039,42
224,3.2,16.8,8.2,14.8,26.2,31908,23
225,14.8,33.9,17.3,35.4,38,13781,85
226,2.3,14.7,6.6,12.9,21.7,43198,10
227,6.3,28.6,22.6,24.4,37.9,15957,73
228,9.4,41.7,25.8,24.5,43.6,10934,92
229,8.2,42.4,19.6,21.3,43.2,12961,83
230,3.8,20.6,10.7,9.6,22.2,44689,15
231,7.4,43.1,21.2,27.6,42.7,12034,87
232,15.2,30.7,15.8,54.8,33.8,10402,96
233,9.6,25.8,15.8,40.7,32.6,16444,76
234,1.5,14.7,5.7,3.1,13.5,65526,3
235,1.3,13.8,4.9,7.4,21.8,59077,7
236,5.7,40.1,16.7,34.5,38.3,16148,82
237,1.8,29.6,18.2,14.3,30.7,23791,47
238,1.4,17.2,21.1,10.6,39.3,24454,41
239,4.7,29.8,19.7,26.6,41.1,16579,75
240,6.8,33,18.6,19.3,42.7,12515,79
241,2.1,11.5,20,11,44,28887,38
242,2.5,19.8,20.3,16.9,41.2,17949,52
243,1.5,21.6,22.8,13.1,38.6,20588,51
244,4,29.2,16.3,21,39.5,14685,65
245,6.8,19.2,12.1,31.9,42.8,17104,64
246,3.3,25.9,19.4,20.5,42.1,16563,62
247,5.8,56.5,34.6,27.5,51.5,8201,98
248,3.3,17.1,9.6,19.2,42.9,22677,44
249,2.6,8.8,11.3,19.3,38.1,26353,32
250,8.5,14.1,16.5,35.9,39.2,16134,67
251,14.4,23.6,13.9,45.1,39.3,13089,84
252,7.2,18.7,13.4,32.9,35.6,16954,61
253,4.5,18.9,13.7,22.2,31.3,22694,43
254,11.9,29,23,41.5,38.9,12765,91
255,11.1,15.6,16.7,37,37.7,15754,69
256,15.8,23.4,18.2,51.5,38.8,12171,93
257,2.7,8.9,9.5,18.8,37.6,25113,29
258,5.8,14.9,9.6,33.6,39.6,16907,56
259,7.6,27.9,17.1,31.2,40.6,13231,80
260,4.8,34.4,35.9,26.3,40.7,11317,89
261,3.8,46.6,28,28.5,42.5,11888,94
262,3.6,29.6,23,16.5,41,17285,66
263,4,10.4,11.7,17.7,36.9,23482,37
264,4,27.6,28.3,18.5,41.9,15528,74
265,0.9,5.1,8,3.7,40.5,39523,12
266,1.1,16.9,20.8,13.7,42.6,19713,48
267,1,3.4,8.7,4.3,36.8,34381,16
268,0.8,13.2,15,10.8,40.3,27149,30
269,3.6,15.4,7.1,10.9,30.3,25828,24
270,4.1,18.2,9.2,9.7,23.8,33385,19
271,4.8,34.4,35.9,26.3,40.7,11317,89
